gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Astrocytes	CA1	CA2_3	Cajal	Choroid	Dentate_Gyrus	Fibroblast	Inhibitory_Neurons	MFOL	MOL	Macrophage	Microglia	NFOL	OPC	Pericyte	Unidentified_Neurons	VLMC	Vascular	subiculum
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0027887393	0.0006556037	0.0092635985	0.0	0.0	0.0019011201	0.0104197697	0.001459442	0.0028826693	0.0145949599	0.140335122	0.0045554119	0.0	0.0155766623	0.0	0.0	0.0952489872	0.0322528632	0.0032834954
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0027887393	0.0006556037	0.0092635985	0.0	0.0	0.0019011201	0.0104197697	0.001459442	0.0028826693	0.0145949599	0.140335122	0.0045554119	0.0	0.0155766623	0.0	0.0	0.0952489872	0.0322528632	0.0032834954
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0068009255	0.1132728196	0.1134229482	0.1039266807	0.0965560362	0.1359685879	0.0727269388	0.0989898464	0.0759827639	0.057403127	0.0	0.1689421432	0.0936480538	0.1637881754	0.0	0.1187667881	0.1753832051	0.2032309744	0.0845474657
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0027887393	0.0006556037	0.0092635985	0.0	0.0	0.0019011201	0.0104197697	0.001459442	0.0028826693	0.0145949599	0.140335122	0.0045554119	0.0	0.0155766623	0.0	0.0	0.0952489872	0.0322528632	0.0032834954
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0	0.0	0.0	0.0	0.0017974432	0.0116153469	0.0031613828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0E70DD97F	0.0	0.0	0.0	0.0	0.0	0.000137289	0.0	0.0	0.0	0.0	0.0	0.0024702179	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0068009255	0.1132728196	0.1134229482	0.1039266807	0.0965560362	0.1359685879	0.0727269388	0.0989898464	0.0759827639	0.057403127	0.0	0.1689421432	0.0936480538	0.1637881754	0.0	0.1187667881	0.1753832051	0.2032309744	0.0845474657
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0068009255	0.1132728196	0.1134229482	0.1039266807	0.0965560362	0.1359685879	0.0727269388	0.0989898464	0.0759827639	0.057403127	0.0	0.1689421432	0.0936480538	0.1637881754	0.0	0.1187667881	0.1753832051	0.2032309744	0.0845474657
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0068009255	0.1132728196	0.1134229482	0.1039266807	0.0965560362	0.1359685879	0.0727269388	0.0989898464	0.0759827639	0.057403127	0.0	0.1689421432	0.0936480538	0.1637881754	0.0	0.1187667881	0.1753832051	0.2032309744	0.0845474657
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0068009255	0.1132728196	0.1134229482	0.1039266807	0.0965560362	0.1359685879	0.0727269388	0.0989898464	0.0759827639	0.057403127	0.0	0.1689421432	0.0936480538	0.1637881754	0.0	0.1187667881	0.1753832051	0.2032309744	0.0845474657
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.1464820579	0.4248241882	0.632764551	0.8160982042	0.1648047063	0.4600665869	0.1362109491	0.5082467854	0.3104228807	0.2637886172	0.1458746645	0.2070589307	0.4257960866	0.3574557937	0.1774183306	1.0692088619	0.2523156115	0.1850895243	0.5389924677
