MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1351646	Abca7	ATP-binding cassette, sub-family A (ABC1), member 7	10		positive regulation of ERK1 and ERK2 cascade			IMP		J:112621 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		positive regulation of ERK1 and ERK2 cascade			IMP		J:140959 	
MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	1		positive regulation of ERK1 and ERK2 cascade			IGI	MGI:99511 	J:140959 	
MGI:109562	Ackr3	atypical chemokine receptor 3	1		positive regulation of ERK1 and ERK2 cascade	happens in fibroblast		IGI	MGI:1341264 MGI:95294 	J:200277 	
MGI:109562	Ackr3	atypical chemokine receptor 3	1		positive regulation of ERK1 and ERK2 cascade	happens in fibroblast		IGI	MGI:1341264 MGI:98397 	J:200277 	
MGI:109562	Ackr3	atypical chemokine receptor 3	1		positive regulation of ERK1 and ERK2 cascade			ISO	P25106 	J:164563 	
MGI:87909	Acta2	actin alpha 2, smooth muscle, aorta	19		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:621676 	J:155856 	
MGI:1096335	Adam17	a disintegrin and metallopeptidase domain 17	12		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:620404 	J:155856 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		positive regulation of ERK1 and ERK2 cascade			IBA	PTN002598721 	J:265628 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:2037 	J:155856 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		positive regulation of ERK1 and ERK2 cascade			ISO	P18509 	J:164563 	
MGI:104773	Adra1a	adrenergic receptor, alpha 1a	14		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:2055 	J:155856 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of ERK1 and ERK2 cascade			ISO	Q15109 	J:164563 	
MGI:1932576	Akap12	A kinase (PRKA) anchor protein (gravin) 12	10		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:70988 	J:155856 	
MGI:3645495	Alkal1	ALK and LTK ligand 1	1		positive regulation of ERK1 and ERK2 cascade			IBA	PTN002010604 	J:265628 	
MGI:3645495	Alkal1	ALK and LTK ligand 1	1		positive regulation of ERK1 and ERK2 cascade			ISO	Q6UXT8 	J:164563 	
MGI:3697448	Alkal2	ALK and LTK ligand 2	12		positive regulation of ERK1 and ERK2 cascade			IBA	PTN002010604 	J:265628 	
MGI:3697448	Alkal2	ALK and LTK ligand 2	12		positive regulation of ERK1 and ERK2 cascade			ISO	Q6UX46 	J:164563 	
MGI:87997	Alox15	arachidonate 15-lipoxygenase	11		positive regulation of ERK1 and ERK2 cascade			ISO	P16050 	J:164563 	
MGI:108448	Angpt1	angiopoietin 1	15		positive regulation of ERK1 and ERK2 cascade			ISO	Q15389 	J:164563 	
MGI:88057	Apoe	apolipoprotein E	7		positive regulation of ERK1 and ERK2 cascade			ISO	P02649 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:2139 	J:155856 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		positive regulation of ERK1 and ERK2 cascade			ISO	P05067 	J:164563 	
MGI:1920417	Arhgap8	Rho GTPase activating protein 8	15		positive regulation of ERK1 and ERK2 cascade			ISO	P85298 	J:164563 	
MGI:99473	Arrb1	arrestin, beta 1	7		positive regulation of ERK1 and ERK2 cascade			IBA	PTN002623660 	J:265628 	
MGI:99473	Arrb1	arrestin, beta 1	7		positive regulation of ERK1 and ERK2 cascade			IMP		J:160042 	
MGI:99473	Arrb1	arrestin, beta 1	7		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:2156 	J:155856 	
MGI:99473	Arrb1	arrestin, beta 1	7		positive regulation of ERK1 and ERK2 cascade			ISO	P49407 	J:164563 	
MGI:99474	Arrb2	arrestin, beta 2	11		positive regulation of ERK1 and ERK2 cascade			IBA	PTN002623675 	J:265628 	
MGI:99474	Arrb2	arrestin, beta 2	11		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:2157 	J:155856 	
MGI:99474	Arrb2	arrestin, beta 2	11		positive regulation of ERK1 and ERK2 cascade			ISO	P32121 	J:164563 	
MGI:109629	Atp6ap1	ATPase, H+ transporting, lysosomal accessory protein 1	X		positive regulation of ERK1 and ERK2 cascade			IMP		J:211452 	
MGI:88116	Atp6v0c	ATPase, H+ transporting, lysosomal V0 subunit C	17		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:621394 	J:155856 	
MGI:88177	Bmp2	bone morphogenetic protein 2	2		positive regulation of ERK1 and ERK2 cascade			ISO	P12643 	J:164563 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		positive regulation of ERK1 and ERK2 cascade			IDA		J:142133 	
MGI:1920480	Bmper	BMP-binding endothelial regulator	9		positive regulation of ERK1 and ERK2 cascade			ISO	Q8N8U9 	J:164563 	
MGI:88190	Braf	Braf transforming gene	6		positive regulation of ERK1 and ERK2 cascade			IDA		J:187371 	
MGI:88190	Braf	Braf transforming gene	6		positive regulation of ERK1 and ERK2 cascade	regulates a function/process that happens in hematopoietic multipotent progenitor cell		IMP	MGI:1857579 	J:117308 	
MGI:88190	Braf	Braf transforming gene	6		positive regulation of ERK1 and ERK2 cascade			IMP	MGI:1857579 	J:131579 	
MGI:88190	Braf	Braf transforming gene	6		positive regulation of ERK1 and ERK2 cascade	regulates a function/process that happens in forebrain		IMP	MGI:3620008 MGI:3622450 	J:107042 	
MGI:88190	Braf	Braf transforming gene	6		positive regulation of ERK1 and ERK2 cascade	regulates a function/process that happens in double-positive, alpha-beta thymocyte|regulates a function/process that happens in CD4-positive, alpha-beta thymocyte		IMP	MGI:3711006 	J:194392 	
MGI:88190	Braf	Braf transforming gene	6		positive regulation of ERK1 and ERK2 cascade	regulates a function/process that happens in fibroblast		IMP		J:91604 	
MGI:88190	Braf	Braf transforming gene	6		positive regulation of ERK1 and ERK2 cascade	regulates a function/process that happens in neuron		IMP		J:196950 	
MGI:88190	Braf	Braf transforming gene	6		positive regulation of ERK1 and ERK2 cascade			ISO	P15056 	J:164563 	
MGI:1932136	C1qtnf3	C1q and tumor necrosis factor related protein 3	15		positive regulation of ERK1 and ERK2 cascade	regulates a function/process that happens in liver		IDA		J:167584 	
MGI:88227	C3	complement component 3	17		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:2232 	J:155856 	
MGI:2442013	C5ar2	complement component 5a receptor 2	7		positive regulation of ERK1 and ERK2 cascade			IEA	IPR027809 	J:72247 	
MGI:101950	Calcr	calcitonin receptor	6		positive regulation of ERK1 and ERK2 cascade			ISO	P30988 	J:164563 	
MGI:1341265	Camk2d	calcium/calmodulin-dependent protein kinase II, delta	3		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:2263 	J:155856 	
MGI:2685628	Card9	caspase recruitment domain family, member 9	2		positive regulation of ERK1 and ERK2 cascade			IMP		J:218677 	
MGI:1351351	Casr	calcium-sensing receptor	16		positive regulation of ERK1 and ERK2 cascade			ISO	RGD:2277 	J:155856 	
MGI:1923422	Cavin3	caveolae associated 3	7		positive regulation of ERK1 and ERK2 cascade			IMP	MGI:5518819 	J:202374 	
MGI:98258	Ccl1	chemokine (C-C motif) ligand 1	11		positive regulation of ERK1 and ERK2 cascade			IBA	PTN000245709 	J:265628 	
MGI:98259	Ccl2	chemokine (C-C motif) ligand 2	11		positive regulation of ERK1 and ERK2 cascade			IBA	PTN000245709 	J:265628 	
MGI:98260	Ccl3	chemokine (C-C motif) ligand 3	11		positive regulation of ERK1 and ERK2 cascade			IBA	PTN000245709 	J:265628 	
MGI:98261	Ccl4	chemokine (C-C motif) ligand 4	11		positive regulation of ERK1 and ERK2 cascade			IBA	PTN000245709 	J:265628 	
MGI:98262	Ccl5	chemokine (C-C motif) ligand 5	11		positive regulation of ERK1 and ERK2 cascade			IBA	PTN000245709 	J:265628 	
MGI:98263	Ccl6	chemokine (C-C motif) ligand 6	11		positive regulation of ERK1 and ERK2 cascade			IBA	PTN000245709 	J:265628 	
MGI:99512	Ccl7	chemokine (C-C motif) ligand 7	11		positive regulation of ERK1 and ERK2 cascade			IBA	PTN000245709 	J:265628 	
MGI:101878	Ccl8	chemokine (C-C motif) ligand 8	11		positive regulation of ERK1 and ERK2 cascade			IBA	PTN000245709 	J:265628 	
MGI:104533	Ccl9	chemokine (C-C motif) ligand 9	11		positive regulation of ERK1 and ERK2 cascade			IBA	PTN000245709 	J:265628 	
MGI:103576	Ccl11	chemokine (C-C motif) ligand 11	11		positive regulation of ERK1 and ERK2 cascade			IBA	PTN000245709 	J:265628 	
MGI:108224	Ccl12	chemokine (C-C motif) ligand 12	11		positive regulation of ERK1 and ERK2 cascade			IBA	PTN000245709 	J:265628 	
