gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Astrocytes	CA1 Neurons	CA2/CA3 Neuron	Cajal Retzius	Choroid Plexus	Dentate Gyrus	Fibroblast	Inhibitory Interneurons	Microglia	Neurons	OPC	Oligo	Pericytes	Subiculum	VLMC	Vascular Endothelial
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0027887393	0.0006587927	0.0097949115	0.0	0.0	0.0019011201	0.0104197697	0.001459442	0.0086472664	0.0	0.0138863127	0.0047984343	0.0	0.0032834954	0.0952489872	0.0322528632
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0027887393	0.0006587927	0.0097949115	0.0	0.0	0.0019011201	0.0104197697	0.001459442	0.0086472664	0.0	0.0138863127	0.0047984343	0.0	0.0032834954	0.0952489872	0.0322528632
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0068009255	0.1138238139	0.1117536867	0.1039266807	0.0965560362	0.1359685879	0.0727269388	0.0989898464	0.1638509063	0.1183429064	0.1561767036	0.0729437155	0.0	0.0845474657	0.1753832051	0.2032309744
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0027887393	0.0006587927	0.0097949115	0.0	0.0	0.0019011201	0.0104197697	0.001459442	0.0086472664	0.0	0.0138863127	0.0047984343	0.0	0.0032834954	0.0952489872	0.0322528632
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0	0.0	0.0	0.0	0.0017974432	0.0116153469	0.0031613828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0E70DD97F	0.0	0.0	0.0	0.0	0.0	0.000137289	0.0	0.0	0.0023957755	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0068009255	0.1138238139	0.1117536867	0.1039266807	0.0965560362	0.1359685879	0.0727269388	0.0989898464	0.1638509063	0.1183429064	0.1561767036	0.0729437155	0.0	0.0845474657	0.1753832051	0.2032309744
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0068009255	0.1138238139	0.1117536867	0.1039266807	0.0965560362	0.1359685879	0.0727269388	0.0989898464	0.1638509063	0.1183429064	0.1561767036	0.0729437155	0.0	0.0845474657	0.1753832051	0.2032309744
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0068009255	0.1138238139	0.1117536867	0.1039266807	0.0965560362	0.1359685879	0.0727269388	0.0989898464	0.1638509063	0.1183429064	0.1561767036	0.0729437155	0.0	0.0845474657	0.1753832051	0.2032309744
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0068009255	0.1138238139	0.1117536867	0.1039266807	0.0965560362	0.1359685879	0.0727269388	0.0989898464	0.1638509063	0.1183429064	0.1561767036	0.0729437155	0.0	0.0845474657	0.1753832051	0.2032309744
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.1464820579	0.425028141	0.6409304529	0.8160982042	0.1648047063	0.4600665869	0.1362109491	0.5082467854	0.2052150829	0.9578679289	0.3648719515	0.3027949714	0.1774183306	0.5389924677	0.2523156115	0.1850895243
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	15.4283461414	8.0648937774	4.9363695698	0.6679201325	1.2175881232	5.645928832	1.0552546501	8.7060171316	9.8802055333	7.400057971	5.9028006686	3.361035785	1.49403957	9.0478720153	0.7620666282	2.5260034188
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.0353925159	0.2043862657	0.4072500438	0.8360513253	0.1212861924	0.297719092	0.2271900845	0.2016033376	0.0818076891	0.1160460234	0.3120410202	0.3754999469	0.0	0.2073541034	0.1724024744	0.0177905214
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.0021810724	0.0125507835	0.0176969916	0.0	0.0093816377	0.010088472	0.0437755685	0.0013536931	0.0	0.0008170399	0.0034553186	0.0037598052	0.0	0.0005732145	0.0	0.0
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.0551829352	0.0065856518	0.0066638252	0.0659091566	0.0886143659	0.0103634557	0.1866153878	0.1052731614	0.1768696641	0.0027561018	0.1245078355	0.0168795519	0.0	0.0280771372	0.0374321538	0.1293281709
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0D03910A0	0.0	0.0	0.0	0.0	0.0	0.0017974432	0.0116153469	0.0031613828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0FEAC3352	0.0	0.0	0.0	0.0	0.0	0.000137289	0.0	0.0	0.0023957755	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR1	P47211	False	GALR1_HUMAN		CPI-SS0B0E74BC0	0.0	0.0073585992	0.0033554865	0.0	0.0	0.0118580793	0.0	0.0062416951	0.0	0.0	0.0	0.0036823641	0.0	0.0123290768	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.1464820579	0.425028141	0.6409304529	0.8160982042	0.1648047063	0.4600665869	0.1362109491	0.5082467854	0.2052150829	0.9578679289	0.3648719515	0.3027949714	0.1774183306	0.5389924677	0.2523156115	0.1850895243
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	15.4283461414	8.0648937774	4.9363695698	0.6679201325	1.2175881232	5.645928832	1.0552546501	8.7060171316	9.8802055333	7.400057971	5.9028006686	3.361035785	1.49403957	9.0478720153	0.7620666282	2.5260034188
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0	0.001290649	0.0017568489	0.0	0.0	0.0021312244	0.0	0.0174169248	0.0174769655	0.0033307213	0.0	0.0060221511	0.0	0.0004679441	0.2058537564	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.1464820579	0.425028141	0.6409304529	0.8160982042	0.1648047063	0.4600665869	0.1362109491	0.5082467854	0.2052150829	0.9578679289	0.3648719515	0.3027949714	0.1774183306	0.5389924677	0.2523156115	0.1850895243
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.1464820579	0.425028141	0.6409304529	0.8160982042	0.1648047063	0.4600665869	0.1362109491	0.5082467854	0.2052150829	0.9578679289	0.3648719515	0.3027949714	0.1774183306	0.5389924677	0.2523156115	0.1850895243
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	0.0353925159	0.2043862657	0.4072500438	0.8360513253	0.1212861924	0.297719092	0.2271900845	0.2016033376	0.0818076891	0.1160460234	0.3120410202	0.3754999469	0.0	0.2073541034	0.1724024744	0.0177905214
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.0353925159	0.2043862657	0.4072500438	0.8360513253	0.1212861924	0.297719092	0.2271900845	0.2016033376	0.0818076891	0.1160460234	0.3120410202	0.3754999469	0.0	0.2073541034	0.1724024744	0.0177905214
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.0021810724	0.0125507835	0.0176969916	0.0	0.0093816377	0.010088472	0.0437755685	0.0013536931	0.0	0.0008170399	0.0034553186	0.0037598052	0.0	0.0005732145	0.0	0.0
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.0102561117	0.1322651312	0.1369673194	0.0	0.0	0.1231467729	0.0164019796	0.0367439125	0.0358641488	0.0379859986	0.080318347	0.0015785004	0.0	0.0692688934	0.0488028718	0.0
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.0060577167	0.0015795937	0.0036122261	0.0	0.0278921355	0.0011250052	0.1402652888	0.0	0.011825826	0.0	0.0	0.0056190153	0.0	0.000563201	2.6974300397	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.0130173345	0.0020639859	0.0088977026	0.0	0.0115278043	0.0034174697	0.1456061283	0.0033503705	0.0342414293	0.0	0.0193792579	0.0086197218	0.0	0.0007233344	0.0	0.0
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.0251969186	0.0144522263	0.0062417549	0.0622324096	0.0418207174	0.020526429	0.7494902653	0.0222991791	0.0827943921	0.0807059392	0.0457002007	0.0363491268	1.13367124	0.0119570711	3.8466088718	0.0650820256
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.24846104	0.0173783159	0.2027627569	0.0	0.0	0.0028285591	0.1008506822	0.0041917183	0.0620943418	0.183893358	0.0186937888	0.0131961664	0.0	0.0499001348	0.1894852692	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.0130173345	0.0020639859	0.0088977026	0.0	0.0115278043	0.0034174697	0.1456061283	0.0033503705	0.0342414293	0.0	0.0193792579	0.0086197218	0.0	0.0007233344	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	1.5481886276	0.2431542432	0.3057407296	0.1038810181	0.2247471884	0.015198598	0.8041923376	1.8463949959	0.4000605656	0.6024444535	0.6568847713	0.7451909268	0.24205322	0.5728422829	0.2005768846	0.1158392821
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.0029919966	0.0006172168	0.0020274561	0.0	0.0124508188	0.0006848386	0.0	0.0033483759	0.0015217887	0.0	0.0012825473	0.0	0.0	0.0018645608	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.008360749	0.0020696044	0.0146447209	0.0	0.1351147246	0.0075989686	0.0283174548	0.0371744442	0.0	0.0072574025	0.0033215519	0.0	0.0	0.0107504124	0.0	0.0086551966
FGF19	O95750	False	FGF19_HUMAN		CPI-SS07A03C20F	0.0	0.0004337791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0092241984	0.0	0.0	0.0	0.0	0.0
FGF4	P08620	False	FGF4_HUMAN		CPI-SS02896561C	0.0209886448	0.0007559937	0.0	0.0	0.0	0.002109127	0.0	0.0024429662	0.0	0.0	0.0058313897	0.0024709031	0.0	0.00499896	0.0	0.0
FGF3	P11487	False	FGF3_HUMAN		CPI-SS05ECF1933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014712607	0.0	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS066347638	0.0140711483	0.0239563702	0.2310305489	0.0572088916	0.0104992029	0.1957931643	0.0129300962	0.0238819665	0.006376717	0.073061554	0.0158797713	0.004146555	0.0	0.0936200126	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.0	0.0208601339	0.0073153299	0.0	0.092176029	0.0054649873	0.0344445423	0.0158311888	0.0041828181	0.0070072648	0.0168864947	0.0168855344	0.0	0.0069326394	0.1559809231	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.0130173345	0.0020639859	0.0088977026	0.0	0.0115278043	0.0034174697	0.1456061283	0.0033503705	0.0342414293	0.0	0.0193792579	0.0086197218	0.0	0.0007233344	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	1.5481886276	0.2431542432	0.3057407296	0.1038810181	0.2247471884	0.015198598	0.8041923376	1.8463949959	0.4000605656	0.6024444535	0.6568847713	0.7451909268	0.24205322	0.5728422829	0.2005768846	0.1158392821
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.0029919966	0.0006172168	0.0020274561	0.0	0.0124508188	0.0006848386	0.0	0.0033483759	0.0015217887	0.0	0.0012825473	0.0	0.0	0.0018645608	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.008360749	0.0020696044	0.0146447209	0.0	0.1351147246	0.0075989686	0.0283174548	0.0371744442	0.0	0.0072574025	0.0033215519	0.0	0.0	0.0107504124	0.0	0.0086551966
FGF19	O95750	False	FGF19_HUMAN		CPI-SS070A3A7E5	0.0	0.0004337791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0092241984	0.0	0.0	0.0	0.0	0.0
FGF4	P08620	False	FGF4_HUMAN		CPI-SS0FFB9E01B	0.0209886448	0.0007559937	0.0	0.0	0.0	0.002109127	0.0	0.0024429662	0.0	0.0	0.0058313897	0.0024709031	0.0	0.00499896	0.0	0.0
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.0522234676	0.3945213595	0.5321159052	0.0310520422	0.0253879203	0.155409782	0.0366300064	0.392990186	0.0186410592	0.284227678	0.0447659685	0.0259309847	0.22606514	0.1979501436	0.1004812308	0.2103222735
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.0130173345	0.0020639859	0.0088977026	0.0	0.0115278043	0.0034174697	0.1456061283	0.0033503705	0.0342414293	0.0	0.0193792579	0.0086197218	0.0	0.0007233344	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	1.5481886276	0.2431542432	0.3057407296	0.1038810181	0.2247471884	0.015198598	0.8041923376	1.8463949959	0.4000605656	0.6024444535	0.6568847713	0.7451909268	0.24205322	0.5728422829	0.2005768846	0.1158392821
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	0.0763897552	0.0038374102	0.0400952778	0.0	0.0144177812	0.0058243339	0.1028873748	0.0135699326	0.0839481854	0.4180642186	0.0144955578	0.0172340538	0.0	0.0292584062	0.2094796086	0.0
