Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Nop58	ENSMUST00000191142.1	NOP58 ribonucleoprotein 	1755	1*	0	0	0	2	mmu-miR-146a-3p	-1.00	0	< 0.1
Sult3a1	ENSMUST00000092597.3	sulfotransferase family 3A, member 1 	5	1	1	0	0	0	mmu-miR-146a-3p	-0.81	-0.81	< 0.1
Vmn1r39	ENSMUST00000089918.2	vomeronasal 1 receptor 39 	5	2	1	0	1	0	mmu-miR-146a-3p	-0.78	-0.78	< 0.1
Csn3	ENSMUST00000001667.7	casein kappa 	417	1	1	0	0	1	mmu-miR-146a-3p	-0.74	-0.74	< 0.1
Zfp661	ENSMUST00000110366.2	zinc finger protein 661 	28	3	2	1	0	1	mmu-miR-146a-3p	-0.71	-0.76	< 0.1
Camsap2	ENSMUST00000048309.6	calmodulin regulated spectrin-associated protein family, member 2 	676	2	1	1	0	2	mmu-miR-146a-3p	-0.71	-0.75	< 0.1
1700008P02Rik	ENSMUST00000091364.3	RIKEN cDNA 1700008P02 gene 	5	1	1	0	0	0	mmu-miR-146a-3p	-0.69	-0.70	< 0.1
Rps27l	ENSMUST00000127896.2	ribosomal protein S27-like 	652	1	1	0	0	0	mmu-miR-146a-3p	-0.69	-0.69	< 0.1
Ccl1	ENSMUST00000021043.4	chemokine (C-C motif) ligand 1 	5	2	1	0	1	0	mmu-miR-146a-3p	-0.68	-0.68	< 0.1
Atg12	ENSMUST00000035648.4	autophagy related 12 	1288	2	1	0	1	0	mmu-miR-146a-3p	-0.67	-0.69	< 0.1
Klrc2	ENSMUST00000145984.2	killer cell lectin-like receptor subfamily C, member 2 	5	2	2	0	0	0	mmu-miR-146a-3p	-0.64	-0.64	< 0.1
Gm5142	ENSMUST00000066558.3	predicted gene 5142 	5	1	1	0	0	0	mmu-miR-146a-3p	-0.63	-0.63	< 0.1
Mid1	ENSMUST00000112104.2	midline 1 	43	2	0	2	0	8	mmu-miR-146a-3p	-0.63	-0.63	< 0.1
Fam19a2	ENSMUST00000050756.7	family with sequence similarity 19, member A2 	16	2	2	0	0	0	mmu-miR-146a-3p	-0.62	-0.69	< 0.1
Iah1	ENSMUST00000076813.6	isoamyl acetate-hydrolyzing esterase 1 homolog (S. cerevisiae) 	5571	1	1	0	0	0	mmu-miR-146a-3p	-0.62	-0.62	< 0.1
