gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Astrocytes	CA1	CA2_3	Cajal	Choroid	Dentate_Gyrus	Fibroblast	Inhibitory_Neurons	MFOL	MOL	Macrophage	Microglia	NFOL	OPC	Pericyte	Unidentified_Neurons	VLMC	Vascular	subiculum
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0060863794	0.0005660123	0.0085868026	0.0	0.1035518222	0.0008969546	0.0	0.0070646754	0.0024179814	0.008590534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053535645
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0060863794	0.0005660123	0.0085868026	0.0	0.1035518222	0.0008969546	0.0	0.0070646754	0.0024179814	0.008590534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053535645
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0150378821	0.1158440284	0.0938452143	0.0317291071	0.3622726222	0.1235350715	0.0588824324	0.0783148493	0.0586728691	0.0629869416	0.4415964179	0.1479455227	0.0868876977	0.1194146139	0.0	0.1114310618	0.0	0.1275965476	0.110062307
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0060863794	0.0005660123	0.0085868026	0.0	0.1035518222	0.0008969546	0.0	0.0070646754	0.0024179814	0.008590534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053535645
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0002901235	0.0	0.0	0.0	0.0004490238	0.0	0.0005523911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0E70DD97F	0.0	0.0007305349	0.0	0.0	0.0	0.0	0.0	0.0009143665	0.0	0.0	0.0	0.0	0.0	0.0081880103	0.0	0.0	0.0	0.0	0.0006340524
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0150378821	0.1158440284	0.0938452143	0.0317291071	0.3622726222	0.1235350715	0.0588824324	0.0783148493	0.0586728691	0.0629869416	0.4415964179	0.1479455227	0.0868876977	0.1194146139	0.0	0.1114310618	0.0	0.1275965476	0.110062307
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0150378821	0.1158440284	0.0938452143	0.0317291071	0.3622726222	0.1235350715	0.0588824324	0.0783148493	0.0586728691	0.0629869416	0.4415964179	0.1479455227	0.0868876977	0.1194146139	0.0	0.1114310618	0.0	0.1275965476	0.110062307
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0150378821	0.1158440284	0.0938452143	0.0317291071	0.3622726222	0.1235350715	0.0588824324	0.0783148493	0.0586728691	0.0629869416	0.4415964179	0.1479455227	0.0868876977	0.1194146139	0.0	0.1114310618	0.0	0.1275965476	0.110062307
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0150378821	0.1158440284	0.0938452143	0.0317291071	0.3622726222	0.1235350715	0.0588824324	0.0783148493	0.0586728691	0.0629869416	0.4415964179	0.1479455227	0.0868876977	0.1194146139	0.0	0.1114310618	0.0	0.1275965476	0.110062307
